अनयोः	anayoḥ	pron.
अन्ये	anye	pron.
अन्योन्य	anyonya	pron.
अस्मद्	asmad	aham
अस्मद्	asmad	pron.
अस्माकम्	asmākam	pron.
अहम्	aham	pronoun
आयच्छति	āyacchati	ayam
इतर	itara	pron.
कतिचित्	katicit	pron.
केन्द्रीय संसकार एकक	kendrīya saṃsakāra ekaka	pron.
तत्	tat	pron.
तेषाम्	teṣām	pronoun
त्वम्	tvam	pronoun
न कश्चिद्	na kaścid	pron.
परस्पर	paraspara	pron.
भवत्	bhavat	pron.
युष्मद्	yuṣmad	pron.
रुधिर वर्णिका	rudhira varṇikā	pron.
वयम्	vayam	pron.
शुष्कतृणसभूमि	śuṣkatṛṇasabhūmi	pron.
स	sa	pron.
सर्व	sarva	pron.
सर्वजनः	sarvajanaḥ	pron.
सर्वनरः	sarvanaraḥ	pron.
सा	sā	pron.
